Subject,Subject_Age,TrialName,Subject_Sex,Population,Actual_Total_Trial_Number,Avatar_Sex,Fam_ID,Unfam_ID,MediaName,IngroupSum,OutgroupSum,Years_Apart,Years_Together,Kin_Nonkin,Raw_Differences,DLS,Species,DummyPop,Avatar_Age,AvatarDyad,ParticipantDyad,Z_Transformed_TrialNum
Djanoa,23.48528405,Djanoa_Opa_Her,F,Planckendael,1,F,Hermein,Opala,Opa_Her,1.383,0.285,9.98,7.51,Nonkin,1.098,0.658273381,Bonobo,0,OldAdult,Hermein_Opala,Djanoa_Hermein,-1.543674159
Djanoa,23.48528405,Djanoa_Ling_Wak,F,Planckendael,2,F,Lingoye,Waka,Ling_Wak,0.558,0.935,3.39,7.42,Nonkin,-0.377,-0.252511721,Bonobo,0,Adolescent,Lingoye_Waka,Djanoa_Lingoye,-1.445197745
Djanoa,23.48528405,Djanoa_Kal_Lom,F,Planckendael,3,F,Lomela,Kalina,Kal_Lom,2.29,0.384,10.4,1,Nonkin,1.906,0.712789828,Bonobo,0,YoungAdult,Lomela_Kalina,Djanoa_Lomela,-1.346721332
Djanoa,23.48528405,Djanoa_Wak_Ling,F,Planckendael,6,F,Lingoye,Waka,Wak_Ling,0.284,0.459,3.39,7.42,Nonkin,-0.175,-0.235531629,Bonobo,0,Adolescent,Lingoye_Waka,Djanoa_Lingoye,-1.051292092
Djanoa,23.48528405,Djanoa_Lom_Kal,F,Planckendael,7,F,Lomela,Kalina,Lom_Kal,0.293,2.141,10.4,1,Nonkin,-1.848,-0.759244043,Bonobo,0,YoungAdult,Lomela_Kalina,Djanoa_Lomela,-0.952815679
Djanoa,23.48528405,Djanoa_Luk_Ling,F,Planckendael,16,F,Lingoye,Lukuru,Luk_Ling,0,0.126,3.39,7.42,Nonkin,-0.126,-1,Bonobo,0,Adolescent,Lingoye_Lukuru,Djanoa_Lingoye,-0.066527959
Djanoa,23.48528405,Djanoa_Luk_Jas,F,Planckendael,8,F,Jasiri,Lukuru,Luk_Jas,1.551,0.259,9.15,2.25,Nonkin,1.292,0.713812155,Bonobo,0,Adolescent,Jasiri_Lukuru,Djanoa_Jasiri,-0.854339265
Djanoa,23.48528405,Djanoa_Jas_Luk,F,Planckendael,4,F,Jasiri,Lukuru,Jas_Luk,0.334,1.591,9.15,2.25,Nonkin,-1.257,-0.652987013,Bonobo,0,Adolescent,Jasiri_Lukuru,Djanoa_Jasiri,-1.248244919
Djanoa,23.48528405,Djanoa_Her_Opa,F,Planckendael,5,F,Hermein,Opala,Her_Opa,2.259,0.251,9.98,7.51,Nonkin,2.008,0.8,Bonobo,0,OldAdult,Hermein_Opala,Djanoa_Hermein,-1.149768505
Djanoa,23.48528405,Djanoa_Ling_Luk,F,Planckendael,10,F,Lingoye,Lukuru,Ling_Luk,0.234,0.651,3.39,7.42,Nonkin,-0.417,-0.471186441,Bonobo,0,Adolescent,Lingoye_Lukuru,Djanoa_Lingoye,-0.657386439
Djanoa,23.48528405,Djanoa_Opa_Lom,F,Planckendael,14,F,Lomela,Opala,Opa_Lom,0.076,0.151,10.4,1,Nonkin,-0.075,-0.330396476,Bonobo,0,YoungAdult,Lomela_Opala,Djanoa_Lomela,-0.263480785
Djanoa,23.48528405,Djanoa_Lom_Opa,F,Planckendael,11,F,Lomela,Opala,Lom_Opa,0.543,0.576,10.4,1,Nonkin,-0.033,-0.029490617,Bonobo,0,YoungAdult,Lomela_Opala,Djanoa_Lomela,-0.558910025
Djanoa,23.48528405,Djanoa_Wak_Jas,F,Planckendael,12,F,Jasiri,Waka,Wak_Jas,0.467,0.218,9.15,2.25,Nonkin,0.249,0.36350365,Bonobo,0,Adolescent,Jasiri_Waka,Djanoa_Jasiri,-0.460433612
Djanoa,23.48528405,Djanoa_Jas_Wak,F,Planckendael,15,F,Jasiri,Waka,Jas_Wak,0.143,0.093,9.15,2.25,Nonkin,0.05,0.211864407,Bonobo,0,Adolescent,Jasiri_Waka,Djanoa_Jasiri,-0.165004372
Djanoa,23.48528405,Djanoa_Her_Kal,F,Planckendael,13,F,Hermein,Kalina,Her_Kal,0.118,1.261,9.98,7.51,Nonkin,-1.143,-0.828861494,Bonobo,0,OldAdult,Hermein_Kalina,Djanoa_Hermein,-0.361957199
Djanoa,23.48528405,Djanoa_Kal_Her,F,Planckendael,9,F,Hermein,Kalina,Kal_Her,0,0.776,9.98,7.51,Nonkin,-0.776,-1,Bonobo,0,OldAdult,Hermein_Kalina,Djanoa_Hermein,-0.755862852
Edith,22.2587269,Edith_Unyo_Kin,F,Edinburgh,24,M,Kindia,Unyoro,Unyo_Kin,0.951,0.101,0.73,7.83,Nonkin,0.85,0.807984791,Chimpanzee,0,YoungAdult,Kindia_Unyoro,Edith_Kindia,0.721283348
Edith,22.2587269,Edith_Bram_Kofi,F,Edinburgh,25,M,Bram,Kofi,Bram_Kofi,1.559,0.725,8.15,3.71,Nonkin,0.834,0.365148862,Chimpanzee,0,YoungAdult,Bram_Kofi,Edith_Bram,0.819759761
Edith,22.2587269,Edith_Loi_Rick,F,Edinburgh,33,M,Ricky,Loi,Loi_Rick,0.543,0.168,6.99,1.57,Nonkin,0.375,0.52742616,Chimpanzee,0,OldAdult,Ricky_Loi,Edith_Ricky,1.607571068
Edith,22.2587269,Edith_Pearl_Fred,F,Edinburgh,7,F,Pearl,Frederike,Pearl_Fred,0.084,0.251,2.32,9.54,Nonkin,-0.167,-0.498507463,Chimpanzee,0,OldAdult,Pearl_Frederike,Edith_Pearl,-0.952815679
Edith,22.2587269,Edith_Bam_Emma,F,Edinburgh,8,F,Emma,Bambari,Bam_Emma,0.259,0,3.15,5.4,Nonkin,0.259,1,Chimpanzee,0,OldAdult,Emma_Bambari,Edith_Emma,-0.854339265
Edith,22.2587269,Edith_Rick_Loi,F,Edinburgh,26,M,Ricky,Loi,Rick_Loi,0.076,0.892,6.99,1.57,Nonkin,-0.816,-0.842975207,Chimpanzee,0,OldAdult,Ricky_Loi,Edith_Ricky,0.918236175
Edith,22.2587269,Edith_Lin_Fred,F,Edinburgh,36,F,Lyndsey,Frederike,Lin_Fred,0.151,0.709,5.91,2.65,Nonkin,-0.558,-0.648837209,Chimpanzee,0,OldAdult,Lyndsey_Frederike,Edith_Lyndsey,1.903000308
Edith,22.2587269,Edith_Pearl_Bam,F,Edinburgh,1,F,Pearl,Bambari,Pearl_Bam,0.134,0.784,2.32,9.54,Nonkin,-0.65,-0.708061002,Chimpanzee,0,OldAdult,Pearl_Bambari,Edith_Pearl,-1.543674159
Edith,22.2587269,Edith_Emma_Mis,F,Edinburgh,2,F,Emma,Misaki,Emma_Mis,0.084,0.067,3.15,5.4,Nonkin,0.017,0.112582781,Chimpanzee,0,OldAdult,Emma_Misaki,Edith_Emma,-1.445197745
Edith,22.2587269,Edith_Fred_Lin,F,Edinburgh,3,F,Lyndsey,Frederike,Fred_Lin,0.226,0.417,5.91,2.65,Nonkin,-0.191,-0.297045101,Chimpanzee,0,OldAdult,Lyndsey_Frederike,Edith_Lyndsey,-1.346721332
Edith,22.2587269,Edith_Bam_Pearl,F,Edinburgh,34,F,Pearl,Bambari,Bam_Pearl,0,0.609,2.32,9.54,Nonkin,-0.609,-1,Chimpanzee,0,OldAdult,Pearl_Bambari,Edith_Pearl,1.706047482
Edith,22.2587269,Edith_Mis_Emma,F,Edinburgh,35,F,Emma,Misaki,Mis_Emma,0.917,0,3.15,5.4,Nonkin,0.917,1,Chimpanzee,0,OldAdult,Emma_Misaki,Edith_Emma,1.804523895
Edith,22.2587269,Edith_Bam_Lin,F,Edinburgh,14,F,Lyndsey,Bambari,Bam_Lin,0.158,0,5.91,2.65,Nonkin,0.158,1,Chimpanzee,0,OldAdult,Lyndsey_Bambari,Edith_Lyndsey,-0.263480785
Edith,22.2587269,Edith_Kin_Loi,F,Edinburgh,4,M,Kindia,Loi,Kin_Loi,0.342,0.967,0.73,7.83,Nonkin,-0.625,-0.477463713,Chimpanzee,0,YoungAdult,Kindia_Loi,Edith_Kindia,-1.248244919
Edith,22.2587269,Edith_Mis_Lin,F,Edinburgh,9,F,Lyndsey,Misaki,Mis_Lin,0.151,0.084,5.91,2.65,Nonkin,0.067,0.285106383,Chimpanzee,0,OldAdult,Lyndsey_Misaki,Edith_Lyndsey,-0.755862852
Edith,22.2587269,Edith_Fred_Pearl,F,Edinburgh,21,F,Pearl,Frederike,Fred_Pearl,0.967,0.426,2.32,9.54,Nonkin,0.541,0.388370424,Chimpanzee,0,OldAdult,Pearl_Frederike,Edith_Pearl,0.425854108
Edith,22.2587269,Edith_Pearl_Mis,F,Edinburgh,30,F,Pearl,Misaki,Pearl_Mis,0.542,0.451,2.32,9.54,Nonkin,0.091,0.09164149,Chimpanzee,0,OldAdult,Pearl_Misaki,Edith_Pearl,1.312141828
Edith,22.2587269,Edith_Fred_Emma,F,Edinburgh,31,F,Emma,Frederike,Fred_Emma,0.909,0,3.15,5.4,Nonkin,0.909,1,Chimpanzee,0,OldAdult,Emma_Frederike,Edith_Emma,1.410618242
Edith,22.2587269,Edith_Lin_Bam,F,Edinburgh,32,F,Lyndsey,Bambari,Lin_Bam,0.635,0.933,5.91,2.65,Nonkin,-0.298,-0.19005102,Chimpanzee,0,OldAdult,Lyndsey_Bambari,Edith_Lyndsey,1.509094655
Edith,22.2587269,Edith_Mis_Pearl,F,Edinburgh,12,F,Pearl,Misaki,Mis_Pearl,0.508,0.167,2.32,9.54,Nonkin,0.341,0.505185185,Chimpanzee,0,OldAdult,Pearl_Misaki,Edith_Pearl,-0.460433612
Edith,22.2587269,Edith_Emma_Fred,F,Edinburgh,13,F,Emma,Frederike,Emma_Fred,0.159,0.154,3.15,5.4,Nonkin,0.005,0.015974441,Chimpanzee,0,OldAdult,Emma_Frederike,Edith_Emma,-0.361957199
Edith,22.2587269,Edith_Kin_Kofi,F,Edinburgh,15,M,Kindia,Kofi,Kin_Kofi,0.084,0.159,0.73,7.83,Nonkin,-0.075,-0.308641975,Chimpanzee,0,YoungAdult,Kindia_Kofi,Edith_Kindia,-0.165004372
Edith,22.2587269,Edith_Loi_Bram,F,Edinburgh,16,M,Bram,Loi,Loi_Bram,0.118,0.101,8.15,3.71,Nonkin,0.017,0.077625571,Chimpanzee,0,YoungAdult,Bram_Loi,Edith_Bram,-0.066527959
Edith,22.2587269,Edith_Bram_Unyo,F,Edinburgh,5,M,Bram,Unyoro,Bram_Unyo,0.184,0.708,8.15,3.71,Nonkin,-0.524,-0.587443946,Chimpanzee,0,YoungAdult,Bram_Unyoro,Edith_Bram,-1.149768505
Edith,22.2587269,Edith_Kofi_Rick,F,Edinburgh,6,M,Ricky,Kofi,Kofi_Rick,1.493,0.084,6.99,1.57,Nonkin,1.409,0.893468611,Chimpanzee,0,OldAdult,Ricky_Kofi,Edith_Ricky,-1.051292092
Edith,22.2587269,Edith_Loi_Kin,F,Edinburgh,18,M,Kindia,Loi,Loi_Kin,0,0.067,0.73,7.83,Nonkin,-0.067,-1,Chimpanzee,0,YoungAdult,Kindia_Loi,Edith_Kindia,0.130424868
Edith,22.2587269,Edith_Unyo_Bram,F,Edinburgh,19,M,Bram,Unyoro,Unyo_Bram,0.919,0.109,8.15,3.71,Nonkin,0.81,0.787937743,Chimpanzee,0,YoungAdult,Bram_Unyoro,Edith_Bram,0.228901281
Edith,22.2587269,Edith_Emma_Bam,F,Edinburgh,22,F,Emma,Bambari,Emma_Bam,0.126,1.267,3.15,5.4,Nonkin,-1.141,-0.819095477,Chimpanzee,0,OldAdult,Emma_Bambari,Edith_Emma,0.524330521
