Subject,Subject_Age,ParticipantDyad,TrialName,Subject_Sex,Population,Actual_Total_Trial_Number,Avatar_Sex,Fam_ID,Unfam_ID,MediaName,IngroupSum,OutgroupSum,Years_Apart,Years_Together,Trial.Sum,Raw_Differences,DLS,Species,DummyPop,Avatar_Age,AvatarDyad,Rel_Dom_Mean,Positive_Ints_Mean,Negative_Ints_Mean,Z_Transformed_TrialNum
Djanoa,23.48528405,Djanoa_Hermein,Djanoa_Her_Kal,F,Planckendael,13,F,Hermein,Kalina,Her_Kal,0.118,1.261,9.98,7.51,1.379,-1.143,-0.828861494,Bonobo,0,OldAdult,Hermein_Kalina,4,3,3,-0.362757222
Djanoa,23.48528405,Djanoa_Lomela,Djanoa_Lom_Opa,F,Planckendael,11,F,Lomela,Opala,Lom_Opa,0.543,0.576,10.4,1,1.119,-0.033,-0.029490617,Bonobo,0,YoungAdult,Lomela_Opala,2.5,3,3,-0.55954292
Djanoa,23.48528405,Djanoa_Lomela,Djanoa_Kal_Lom,F,Planckendael,3,F,Lomela,Kalina,Kal_Lom,2.29,0.384,10.4,1,2.674,1.906,0.712789828,Bonobo,0,YoungAdult,Lomela_Kalina,2.5,3,3,-1.346685714
Djanoa,23.48528405,Djanoa_Lingoye,Djanoa_Luk_Ling,F,Planckendael,16,F,Lingoye,Lukuru,Luk_Ling,0,0.126,3.39,7.42,0.126,-0.126,-1,Bonobo,0,Adolescent,Lingoye_Lukuru,2,3,4,-0.067578674
Djanoa,23.48528405,Djanoa_Lomela,Djanoa_Opa_Lom,F,Planckendael,14,F,Lomela,Opala,Opa_Lom,0.076,0.151,10.4,1,0.227,-0.075,-0.330396476,Bonobo,0,YoungAdult,Lomela_Opala,2.5,3,3,-0.264364372
Djanoa,23.48528405,Djanoa_Lingoye,Djanoa_Ling_Wak,F,Planckendael,2,F,Lingoye,Waka,Ling_Wak,0.558,0.935,3.39,7.42,1.493,-0.377,-0.252511721,Bonobo,0,Adolescent,Lingoye_Waka,2,3,4,-1.445078563
Djanoa,23.48528405,Djanoa_Lomela,Djanoa_Lom_Kal,F,Planckendael,7,F,Lomela,Kalina,Lom_Kal,0.293,2.141,10.4,1,2.434,-1.848,-0.759244043,Bonobo,0,YoungAdult,Lomela_Kalina,2.5,3,3,-0.953114317
Djanoa,23.48528405,Djanoa_Jasiri,Djanoa_Jas_Luk,F,Planckendael,4,F,Jasiri,Lukuru,Jas_Luk,0.334,1.591,9.15,2.25,1.925,-1.257,-0.652987013,Bonobo,0,Adolescent,Jasiri_Lukuru,2,3,3,-1.248292865
Djanoa,23.48528405,Djanoa_Lingoye,Djanoa_Ling_Luk,F,Planckendael,10,F,Lingoye,Lukuru,Ling_Luk,0.234,0.651,3.39,7.42,0.885,-0.417,-0.471186441,Bonobo,0,Adolescent,Lingoye_Lukuru,2,3,4,-0.657935769
Djanoa,23.48528405,Djanoa_Lingoye,Djanoa_Wak_Ling,F,Planckendael,6,F,Lingoye,Waka,Wak_Ling,0.284,0.459,3.39,7.42,0.743,-0.175,-0.235531629,Bonobo,0,Adolescent,Lingoye_Waka,2,3,4,-1.051507166
